typo	tf	df	sdf	correct	tf	df	sdf
onla	2	2	340	onunla	39	35	35
itibariyle	72	53	53	itibarıyla	56	42	42
mevlüt	23	16	16	mevlut	0	0	0
hıristiyan	5	5	7	hristiyan	2	2	4
tekrardan	6	6	6	tekrar	148	115	142
ünvan	0	0	5	unvan	2	2	12
hemşeri	0	0	5	hemşehri	0	0	14
eşyalar	2	1	4	eşya	9	4	9
personeller	2	2	4	personel	44	27	73
makina	1	1	3	makine	10	7	19
müdahele	2	2	3	müdahale	103	66	97
ıstırap	3	3	3	ızdırap	1	1	2
parlementer	3	2	3	parlamenter	54	29	45
adele	0	0	2	adale	0	0	228
ataç	4	2	2	ataş	0	0	3
görseller	1	1	2	görüntüler	10	9	40
laboratuar	1	1	2	laboratuvar	0	0	0
penbe	0	0	2	pembe	3	3	4
küpür	0	0	2	kupür	0	0	0
kalemşör	0	0	2	kalemşor	0	0	0
öğe	1	1	2	öge	0	0	0
parlemento	0	0	2	parlamento	30	22	92
istihbaratlar	2	2	2	istihbarat	130	73	88
artis	0	0	2	artist	0	0	2
senle	1	1	1	seninle	11	10	10
mahçup	2	1	1	mahcup	10	10	10
şifai	1	1	1	şifahi	4	2	2
kollektif	1	1	1	kolektif	0	0	0
meslekdaş	0	0	1	meslektaş	1	1	13
şevkat	1	1	1	şefkat	6	6	10
çoşku	0	0	1	coşku	4	4	33
siluet	0	0	1	silüet	0	0	0
espiri	0	0	1	espri	9	9	19
bugünki	1	1	1	bugünkü	78	67	68
kominist	1	1	1	komünist	15	12	14
felan	1	1	1	falan	53	39	40
egzost	1	1	1	egzoz	0	0	1
muhattap	1	1	1	muhatap	46	35	51
mönü	0	0	1	menü	0	0	1
egzos	0	0	1	egzoz	0	0	1
yalnış	0	0	1	yanlış	208	148	186
yanlız	1	1	1	yalnız	50	40	58
netekim	1	1	1	nitekim	11	11	11
yayınlamak	0	0	1	yayımlamak	0	0	0
orjinal	0	0	1	orijinal	12	6	7
muaffak	1	1	1	muvaffak	2	2	2
süpriz	1	1	1	sürpriz	54	44	51
insiyatif	0	0	1	inisiyatif	8	6	19
provakatör	0	0	1	provokatör	1	1	2
mürivet	1	1	1	mürüvvet	1	1	1
küvöz	0	0	1	kuvöz	0	0	0
egsoz	0	0	0	egzoz	0	0	1
herıld	0	0	0	herhalde	62	50	50
heycan	0	0	0	heyecan	10	9	44
şarz	0	0	0	şarj	0	0	2
ultümaton	0	0	0	ültimatom	0	0	0
oporlor	0	0	0	hoparlör	0	0	0
ceton	0	0	0	jeton	0	0	0
gökan	0	0	0	gökhan	8	5	5
teferuat	0	0	0	teferruat	3	2	3
herkez	0	0	0	herkes	219	143	302
aptes	0	0	0	abdest	2	2	7
teşfik	0	0	0	teşvik	59	39	51
çünki	0	0	0	çünkü	391	254	254
steteskop	0	0	0	stetoskop	0	0	0
alimünyum	0	0	0	alüminyum	0	0	0
tahtarevalli	0	0	0	tahterevalli	0	0	0
sueter	0	0	0	süveter	0	0	0
mozayik	0	0	0	mozaik	1	1	1
karnıbahar	0	0	0	karnabahar	0	0	0
rezarvasyon	0	0	0	rezervasyon	1	1	1
rakkam	0	0	0	rakam	19	13	38
traş	0	0	0	tıraş	1	1	2
südyen	0	0	0	sütyen	0	0	0
canbaz	0	0	0	cambaz	0	0	0
lakayt	0	0	0	lakayıt	0	0	0
azarbaycan	0	0	0	azerbaycan	12	8	8
bilimum	0	0	0	bilumum	0	0	0
pattes	0	0	0	patates	1	1	1
aparatif	0	0	0	aperitif	0	0	0
afganlı	0	0	0	afgan	0	0	13
ekistra	0	0	0	ekstra	0	0	0
labaratuvar	0	0	0	laboratuvar	0	0	0
taşaron	0	0	0	taşeron	11	10	18
florasan	0	0	0	floresan	0	0	0
menecer	0	0	0	menajer	0	0	1
poaça	0	0	0	poğaça	0	0	0
mustarip	0	0	0	muzdarip	2	2	2
distribitör	0	0	0	distribütör	0	0	0
logar	0	0	0	rögar	0	0	0
parağraf	0	0	0	paragraf	0	0	0
alarım	0	0	0	alarm	8	6	11
eşşek	0	0	0	eşek	10	4	4
celatin	0	0	0	jelatin	0	0	0
supab	0	0	0	supap	0	0	0
azemi	0	0	0	azami	7	6	7
fantazi	0	0	0	fantezi	5	3	4
tenbih	0	0	0	tembih	0	0	1
arabeks	0	0	0	arabesk	2	2	2
tanpon	0	0	0	tampon	3	2	2
aperatif	0	0	0	aperitif	0	0	0
tiyo	0	0	0	tüyo	0	0	2
atmasyon	0	0	0	uydurma	6	5	8
ultimatom	0	0	0	ültimatom	0	0	0
hoporlör	0	0	0	hoparlör	0	0	0
