typo	tf	df	sdf	correct	tf	df	sdf
onla	0	0	11	onunla	1	1	1
itibariyle	66	9	9	itibarıyla	25	6	6
eşyalar	8	4	8	eşya	51	6	11
öğe	2	2	6	öge	0	0	5
hıristiyan	6	3	4	hristiyan	2	1	1
ötenazi	6	4	4	ötanazi	1	1	1
döküman	4	1	4	doküman	88	4	5
kollektif	4	3	3	kolektif	65	4	4
leyen	3	3	3	leğen	0	0	0
ıstırap	3	3	3	ızdırap	0	0	0
görseller	4	2	2	görüntüler	4	2	4
tekrardan	2	2	2	tekrar	61	11	11
usül	0	0	2	usul	191	11	11
yayınlamak	4	2	2	yayımlamak	0	0	0
adele	0	0	1	adale	1	1	11
ünvan	0	0	1	unvan	20	3	6
laboratuar	1	1	1	laboratuvar	0	0	1
tesbit	0	0	1	tespit	137	7	7
hemşeri	1	1	1	hemşehri	1	1	1
nisbet	0	0	1	nispet	0	0	5
personeller	18	1	1	personel	125	7	11
insiyatif	0	0	1	inisiyatif	0	0	4
karekter	0	0	1	karakter	31	3	6
egsoz	0	0	0	egzoz	0	0	0
herıld	0	0	0	herhalde	0	0	0
heycan	0	0	0	heyecan	0	0	1
şarz	0	0	0	şarj	0	0	0
ultümaton	0	0	0	ültimatom	0	0	0
oporlor	0	0	0	hoparlör	0	0	0
ceton	0	0	0	jeton	0	0	0
gökan	0	0	0	gökhan	2	1	1
teferuat	0	0	0	teferruat	0	0	0
herkez	0	0	0	herkes	72	9	10
aptes	0	0	0	abdest	0	0	0
teşfik	0	0	0	teşvik	35	6	6
çünki	0	0	0	çünkü	155	10	10
steteskop	0	0	0	stetoskop	0	0	0
alimünyum	0	0	0	alüminyum	0	0	0
tahtarevalli	0	0	0	tahterevalli	0	0	0
sueter	0	0	0	süveter	0	0	0
mozayik	0	0	0	mozaik	0	0	0
karnıbahar	0	0	0	karnabahar	0	0	0
rezarvasyon	0	0	0	rezervasyon	0	0	2
rakkam	0	0	0	rakam	6	4	6
traş	0	0	0	tıraş	0	0	0
südyen	0	0	0	sütyen	0	0	0
canbaz	0	0	0	cambaz	0	0	0
lakayt	0	0	0	lakayıt	0	0	0
azarbaycan	0	0	0	azerbaycan	0	0	0
bilimum	0	0	0	bilumum	0	0	0
pattes	0	0	0	patates	0	0	0
ataç	0	0	0	ataş	0	0	0
aparatif	0	0	0	aperitif	0	0	0
afganlı	0	0	0	afgan	0	0	0
ekistra	0	0	0	ekstra	6	4	4
labaratuvar	0	0	0	laboratuvar	0	0	1
taşaron	0	0	0	taşeron	0	0	0
florasan	0	0	0	floresan	0	0	0
menecer	0	0	0	menajer	0	0	0
poaça	0	0	0	poğaça	0	0	0
mustarip	0	0	0	muzdarip	0	0	0
distribitör	0	0	0	distribütör	0	0	0
logar	0	0	0	rögar	0	0	0
senle	0	0	0	seninle	0	0	0
parağraf	0	0	0	paragraf	8	2	9
alarım	0	0	0	alarm	1	1	1
eşşek	0	0	0	eşek	0	0	0
celatin	0	0	0	jelatin	0	0	0
supab	0	0	0	supap	0	0	0
azemi	0	0	0	azami	14	3	3
mahçup	0	0	0	mahcup	0	0	0
şifai	0	0	0	şifahi	0	0	0
fantazi	0	0	0	fantezi	0	0	0
tenbih	0	0	0	tembih	0	0	0
arabeks	0	0	0	arabesk	0	0	0
tanpon	0	0	0	tampon	0	0	0
aperatif	0	0	0	aperitif	0	0	0
tiyo	0	0	0	tüyo	0	0	0
atmasyon	0	0	0	uydurma	1	1	1
ultimatom	0	0	0	ültimatom	0	0	0
hoporlör	0	0	0	hoparlör	0	0	0
uydurmasyon	0	0	0	uydurma	1	1	1
gazte	0	0	0	gazete	10	7	9
proleterya	0	0	0	proletarya	0	0	0
santranç	0	0	0	satranç	0	0	0
vehamet	0	0	0	vahamet	0	0	0
şemşiye	0	0	0	şemsiye	0	0	0
gravat	0	0	0	kravat	0	0	0
kurdale	0	0	0	kurdele	0	0	0
makina	0	0	0	makine	13	3	4
halisinasyon	0	0	0	halüsinasyon	0	0	0
asvalt	0	0	0	asfalt	0	0	0
meslekdaş	0	0	0	meslektaş	0	0	4
süprüz	0	0	0	sürpriz	1	1	1
kolanya	0	0	0	kolonya	0	0	0
dinazor	0	0	0	dinozor	0	0	0
ansımak	0	0	0	anımsamak	0	0	0
atelye	0	0	0	atölye	0	0	0
ekzantrik	0	0	0	eksantrik	0	0	0
yakinimdir	0	0	0	yakınımdır	0	0	0
eşgal	0	0	0	eşkal	0	0	0
kokreç	0	0	0	kokoreç	0	0	0
dakka	0	0	0	dakika	2	2	2
döndermek	0	0	0	döndürmek	0	0	0
egsantrik	0	0	0	eksantrik	0	0	0
acenta	0	0	0	acente	0	0	1
afaroz	0	0	0	aforoz	0	0	0
şarter	0	0	0	şalter	0	0	0
