typo	tf	df	sdf	correct	tf	df	sdf
onla	1	1	465	onunla	47	41	41
itibariyle	124	91	91	itibarıyla	69	51	51
eşyalar	15	12	59	eşya	38	22	91
hıristiyan	13	9	20	hristiyan	6	6	9
mevlüt	23	16	16	mevlut	0	0	0
yunanlı	12	9	11	yunan	63	31	74
makina	2	1	10	makine	16	14	80
orjinal	8	6	9	orijinal	12	9	13
müdahele	4	4	7	müdahale	463	306	550
hemşeri	0	0	7	hemşehri	1	1	22
traş	10	5	6	tıraş	10	3	3
ünvan	0	0	6	unvan	0	0	27
usül	4	3	6	usul	59	33	86
öğe	0	0	5	öge	0	0	1
psikiyatrist	6	3	5	psikiyatr	3	3	15
döküman	0	0	5	doküman	8	8	20
ataç	3	3	4	ataş	4	3	20
labaratuvar	1	1	4	laboratuvar	16	12	30
mahçup	5	4	4	mahcup	11	11	11
laboratuar	0	0	4	laboratuvar	16	12	30
çoşku	2	1	4	coşku	8	7	50
siluet	1	1	4	silüet	0	0	8
tesbit	2	2	4	tespit	724	503	577
maktül	1	1	4	maktul	3	2	8
allerji	1	1	4	alerji	3	1	5
yayınlamak	1	1	4	yayımlamak	0	0	0
istihbaratlar	2	2	4	istihbarat	201	123	154
filim	1	1	4	film	90	45	92
personeller	3	1	4	personel	166	102	223
artis	0	0	4	artist	1	1	4
restorant	0	0	4	restoran	19	16	39
sağnak	3	3	3	sağanak	152	60	60
espiri	2	2	3	espri	11	7	17
küpür	3	1	3	kupür	1	1	2
tekrardan	3	3	3	tekrar	337	266	305
mönü	0	0	3	menü	0	0	6
motorsiklet	1	1	3	motosiklet	29	16	35
insiyatif	2	2	3	inisiyatif	12	11	20
logar	0	0	2	rögar	1	1	4
vehamet	0	0	2	vahamet	2	2	3
kollektif	2	1	2	kolektif	2	2	5
harfiyat	0	0	2	hafriyat	9	6	6
hintli	1	1	2	hint	4	4	5
tenefüs	2	2	2	teneffüs	3	3	3
tadilatlar	1	1	2	tadilat	18	12	17
netekim	2	2	2	nitekim	28	24	24
techizat	1	1	2	teçhizat	5	5	10
diyaloga	4	2	2	diyaloğa	0	0	0
arefe	2	1	2	arife	1	1	3
kurdela	0	0	2	kurdele	3	3	8
cimnastik	2	2	2	jimnastik	1	1	1
karekter	0	0	2	karakter	10	8	35
herkez	0	0	1	herkes	282	217	440
steteskop	0	0	1	stetoskop	0	0	0
canbaz	7	1	1	cambaz	0	0	1
görseller	0	0	1	görüntüler	68	57	231
senle	1	1	1	seninle	14	13	13
arabeks	2	1	1	arabesk	29	16	18
kurdale	0	0	1	kurdele	3	3	8
eşgal	1	1	1	eşkal	9	8	25
dakka	0	0	1	dakika	291	159	243
cenderme	1	1	1	jandarma	654	340	367
müracat	0	0	1	müracaat	46	37	54
fasülye	1	1	1	fasulye	3	2	2
menüsküs	1	1	1	menisküs	0	0	0
kolleksiyon	0	0	1	koleksiyon	3	2	15
şöför	0	0	1	şoför	50	33	107
erezyon	1	1	1	erozyon	1	1	3
anfi	0	0	1	amfi	2	2	2
üzre	1	1	1	üzere	1170	916	930
taxi	0	0	1	taksi	35	26	133
barsak	1	1	1	bağırsak	22	13	19
kalemşör	0	0	1	kalemşor	0	0	0
kontur	1	1	1	kontör	12	8	8
parlemento	0	0	1	parlamento	27	21	66
benle	1	1	1	benimle	46	37	37
dokunmatik	1	1	1	dokunmalı	0	0	0
mağma	1	1	1	magma	0	0	0
eksoz	0	0	1	egzoz	3	3	3
parelel	1	1	1	paralel	33	27	33
antreman	0	0	1	antrenman	6	6	11
peştemal	0	0	1	peştamal	0	0	0
muzur	0	0	1	muzır	0	0	0
çiflik	0	0	1	çiftlik	3	2	8
egsoz	0	0	0	egzoz	3	3	3
herıld	0	0	0	herhalde	50	44	44
heycan	0	0	0	heyecan	37	34	115
şarz	0	0	0	şarj	9	4	20
ultümaton	0	0	0	ültimatom	0	0	0
oporlor	0	0	0	hoparlör	1	1	10
ceton	0	0	0	jeton	0	0	0
gökan	0	0	0	gökhan	149	71	72
teferuat	0	0	0	teferruat	0	0	3
aptes	0	0	0	abdest	6	3	6
teşfik	0	0	0	teşvik	100	63	93
çünki	0	0	0	çünkü	414	296	296
adele	0	0	0	adale	0	0	251
alimünyum	0	0	0	alüminyum	3	3	4
tahtarevalli	0	0	0	tahterevalli	0	0	0
sueter	0	0	0	süveter	0	0	0
mozayik	0	0	0	mozaik	7	4	5
karnıbahar	0	0	0	karnabahar	1	1	1
rezarvasyon	0	0	0	rezervasyon	3	3	5
rakkam	0	0	0	rakam	25	20	91
südyen	0	0	0	sütyen	0	0	0
lakayt	0	0	0	lakayıt	0	0	0
azarbaycan	0	0	0	azerbaycan	35	16	17
bilimum	0	0	0	bilumum	0	0	0
pattes	0	0	0	patates	9	6	6
aparatif	0	0	0	aperitif	0	0	0
afganlı	0	0	0	afgan	17	4	22
ekistra	0	0	0	ekstra	14	12	12
taşaron	0	0	0	taşeron	22	18	26
florasan	0	0	0	floresan	0	0	2
menecer	0	0	0	menajer	1	1	12
poaça	0	0	0	poğaça	0	0	0
mustarip	0	0	0	muzdarip	1	1	1
distribitör	0	0	0	distribütör	0	0	0
parağraf	0	0	0	paragraf	1	1	2
alarım	0	0	0	alarm	27	20	55
eşşek	0	0	0	eşek	12	7	10
celatin	0	0	0	jelatin	0	0	0
supab	0	0	0	supap	0	0	0
azemi	0	0	0	azami	22	13	14
şifai	0	0	0	şifahi	0	0	0
fantazi	0	0	0	fantezi	1	1	1
tenbih	0	0	0	tembih	0	0	1
tanpon	0	0	0	tampon	8	6	6
aperatif	0	0	0	aperitif	0	0	0
tiyo	0	0	0	tüyo	0	0	2
atmasyon	0	0	0	uydurma	5	5	14
ultimatom	0	0	0	ültimatom	0	0	0
hoporlör	0	0	0	hoparlör	1	1	10
uydurmasyon	0	0	0	uydurma	5	5	14
gazte	0	0	0	gazete	84	50	662
proleterya	0	0	0	proletarya	0	0	0
santranç	0	0	0	satranç	15	6	6
şemşiye	0	0	0	şemsiye	8	7	11
gravat	0	0	0	kravat	6	3	3
halisinasyon	0	0	0	halüsinasyon	0	0	0
asvalt	0	0	0	asfalt	14	9	16
meslekdaş	0	0	0	meslektaş	2	2	57
süprüz	0	0	0	sürpriz	81	59	71
kolanya	0	0	0	kolonya	3	2	2
dinazor	0	0	0	dinozor	0	0	0
ansımak	0	0	0	anımsamak	0	0	0
atelye	0	0	0	atölye	10	6	28
ekzantrik	0	0	0	eksantrik	0	0	0
yakinimdir	0	0	0	yakınımdır	0	0	0
kokreç	0	0	0	kokoreç	1	1	1
döndermek	0	0	0	döndürmek	3	3	4
egsantrik	0	0	0	eksantrik	0	0	0
acenta	0	0	0	acente	1	1	3
afaroz	0	0	0	aforoz	0	0	0
şarter	0	0	0	şalter	1	1	3
afilli	0	0	0	afili	0	0	0
promasyon	0	0	0	promosyon	7	4	7
duymamazlık	0	0	0	duymazlık	0	0	0
subap	0	0	0	supap	0	0	0
ukela	0	0	0	ukala	0	0	0
düyüm	0	0	0	düğüm	3	3	11
leyen	0	0	0	leğen	3	2	5
satlık	0	0	0	satılık	6	4	4
ukele	0	0	0	ukala	0	0	0
hakkaten	0	0	0	hakikaten	11	10	11
püsküvüt	0	0	0	bisküvi	12	9	11
prooram	0	0	0	program	91	62	349
opsayd	0	0	0	ofsayt	3	2	2
miğde	0	0	0	mide	33	24	27
tenbel	0	0	0	tembel	0	0	0
karisör	0	0	0	karoser	0	0	0
çinakop	0	0	0	çinekop	7	1	1
almamazlık	0	0	0	almazlık	0	0	0
fullemek	0	0	0	doldurmak	5	4	4
bilmemezlik	0	0	0	bilmezlik	0	0	0
kakafoni	0	0	0	kakofoni	0	0	0
mürettebatlar	0	0	0	mürettebat	5	4	13
aşşağı	0	0	0	aşağı	75	63	164
mürüvet	0	0	0	mürüvvet	1	1	2
gometri	0	0	0	geometri	0	0	1
valeybol	0	0	0	voleybol	21	12	12
aşırmasyon	0	0	0	aşırma	0	0	0
arozöz	0	0	0	arazöz	0	0	0
konsansüs	0	0	0	konsensüs	1	1	1
sibop	0	0	0	supap	0	0	0
kirbit	0	0	0	kibrit	1	1	1
askari	0	0	0	asgari	33	24	30
ıstanbul	0	0	0	istanbul	1796	938	1136
şevkat	0	0	0	şefkat	16	12	22
amartisör	0	0	0	amortisör	0	0	0
kitlemek	0	0	0	kilitlemek	0	0	0
tirbüşon	0	0	0	tirbuşon	0	0	0
inkilap	0	0	0	inkılap	5	5	9
tahüt	0	0	0	taahüt	0	0	0
penbe	0	0	0	pembe	9	9	9
silahşör	0	0	0	silahşor	0	0	1
oğustos	0	0	0	ağustos	154	113	121
mütaakip	0	0	0	müteakip	28	27	27
kareografi	0	0	0	koreografi	0	0	0
tafsiye	0	0	0	tavsiye	53	46	77
komidin	0	0	0	komodin	0	0	0
megoloman	0	0	0	megaloman	0	0	1
matamatik	0	0	0	matematik	39	21	24
nötür	0	0	0	nötr	0	0	0
erzağı	0	0	0	erzakı	0	0	0
sütüdyo	0	0	0	stüdyo	0	0	9
ciyer	0	0	0	ciğer	0	0	9
sandöviç	0	0	0	sandviç	1	1	1
kollej	0	0	0	kolej	2	2	14
palyanço	0	0	0	palyaço	0	0	1
amaciyle	0	0	0	amacıyla	385	293	293
birfiil	0	0	0	bilfiil	1	1	1
keşki	0	0	0	keşke	59	34	36
eyitim	0	0	0	eğitim	1288	632	732
takikardi	0	0	0	taşikardi	0	0	0
tamüden	0	0	0	taamüden	0	0	0
tiskinmek	0	0	0	tiksinmek	0	0	0
izalasyon	0	0	0	izolasyon	5	5	5
romörkör	0	0	0	römorkör	2	2	4
eşortman	0	0	0	eşofman	5	1	1
pattiz	0	0	0	patates	9	6	6
kopye	0	0	0	kopya	6	5	17
kiprik	0	0	0	kirpik	0	0	0
entellektüel	0	0	0	entelektüel	5	4	6
akapunktur	0	0	0	akupunktur	0	0	0
kavonoz	0	0	0	kavanoz	1	1	2
ağostos	0	0	0	ağustos	154	113	121
tükrük	0	0	0	tükürük	5	4	4
sıvas	0	0	0	sivas	85	61	83
menapoz	0	0	0	menopoz	0	0	0
salomanje	0	0	0	salamanje	0	0	0
bugünki	0	0	0	bugünkü	75	57	57
kominist	0	0	0	komünist	13	13	13
fites	0	0	0	vites	1	1	7
şayibe	0	0	0	şaibe	0	0	6
nalet	0	0	0	lanet	1	1	11
felan	0	0	0	falan	46	30	34
ziğnet	0	0	0	ziynet	17	11	11
aşofman	0	0	0	eşofman	5	1	1
anartar	0	0	0	anahtar	19	11	41
çukolata	0	0	0	çikolata	4	3	4
sitriptiz	0	0	0	striptiz	0	0	0
anlamamazlık	0	0	0	anlamazlık	0	0	0
veleybol	0	0	0	voleybol	21	12	12
sezeryan	0	0	0	sezaryen	5	3	7
tasviye	0	0	0	tasfiye	17	14	17
ilüzyon	0	0	0	illüzyon	0	0	0
egzost	0	0	0	egzoz	3	3	3
şindi	0	0	0	şimdi	346	256	355
muhattap	0	0	0	muhatap	37	27	35
sovan	0	0	0	soğan	5	4	6
tasfir	0	0	0	tasvir	4	3	4
birhaber	0	0	0	bihaber	0	0	0
kozmatik	0	0	0	kozmetik	6	5	5
kanpanya	0	0	0	kampanya	50	38	102
riks	0	0	0	risk	29	24	114
variyetli	0	0	0	zengin	74	46	93
vejeteryan	0	0	0	vejetaryen	0	0	0
tahamül	0	0	0	tahammül	8	8	14
müsbet	0	0	0	müspet	1	1	2
antiparantez	0	0	0	antrparantez	0	0	0
testesteron	0	0	0	testosteron	0	0	0
acizane	0	0	0	naçizane	1	1	1
tolorans	0	0	0	tolerans	5	4	8
tanımamazlık	0	0	0	tanımazlık	0	0	0
deynek	0	0	0	değnek	2	1	10
masus	0	0	0	mahsus	8	6	7
istepne	0	0	0	stepne	0	0	0
acitasyon	0	0	0	ajitasyon	0	0	0
opörlör	0	0	0	hoparlör	1	1	10
ezzane	0	0	0	eczane	12	10	20
karegrafi	0	0	0	koreografi	0	0	0
üvertür	0	0	0	uvertür	0	0	0
profütürül	0	0	0	profiterol	0	0	1
istakoz	0	0	0	ıstakoz	1	1	1
merağını	0	0	0	merakını	3	3	5
tesbih	0	0	0	tespih	16	6	7
eskirim	0	0	0	eskrim	1	1	1
hukuğun	0	0	0	hukukun	33	29	44
yannız	0	0	0	yalnız	124	100	147
lağbo	0	0	0	lavabo	2	2	6
deyinmek	0	0	0	değinmek	2	2	2
zerafet	0	0	0	zarafet	3	1	3
mahlukatlar	0	0	0	mahlukat	0	0	0
profütür	0	0	0	profiterol	0	0	1
egzos	0	0	0	egzoz	3	3	3
salomance	0	0	0	salamanje	0	0	0
kontür	0	0	0	kontör	12	8	8
karayca	0	0	0	karaimce	0	0	0
tetanoz	0	0	0	tetanos	0	0	0
biodizel	0	0	0	biyodizel	0	0	0
gardolap	0	0	0	gardırop	0	0	0
teşebüs	0	0	0	teşebbüs	72	49	60
eksozt	0	0	0	egzoz	3	3	3
kaysı	0	0	0	kayısı	3	3	3
çukulata	0	0	0	çikolata	4	3	4
yalnış	0	0	0	yanlış	238	184	242
megolaman	0	0	0	megaloman	0	0	1
lavobo	0	0	0	lavabo	2	2	6
meyva	0	0	0	meyve	30	22	31
seyehat	0	0	0	seyahat	53	42	60
gangaster	0	0	0	gangster	0	0	0
kaparo	0	0	0	kapora	0	0	0
maydonoz	0	0	0	maydanoz	0	0	0
entrasan	0	0	0	enteresan	14	12	12
bisküüt	0	0	0	bisküvi	12	9	11
azarbeycan	0	0	0	azerbaycan	35	16	17
şanzuman	0	0	0	şanzıman	0	0	0
azerbeycan	0	0	0	azerbaycan	35	16	17
münübüs	0	0	0	minibüs	94	50	94
menejer	0	0	0	menajer	1	1	12
ötenazi	0	0	0	ötanazi	0	0	0
sandoviç	0	0	0	sandviç	1	1	1
deyil	0	0	0	değil	1242	713	942
ahpab	0	0	0	ahbap	0	0	0
pisküvi	0	0	0	bisküvi	12	9	11
mentalite	0	0	0	mantalite	0	0	2
törörist	0	0	0	terörist	171	84	175
mefta	0	0	0	mevta	0	0	0
kırahathane	0	0	0	kıraathane	3	3	3
sohpet	0	0	0	sohbet	95	85	101
kipri	0	0	0	kirpi	28	13	13
ceryan	0	0	0	cereyan	6	5	5
yanlız	0	0	0	yalnız	124	100	147
mundar	0	0	0	murdar	0	0	0
kokareç	0	0	0	kokoreç	1	1	1
candarma	0	0	0	jandarma	654	340	367
nülüfer	0	0	0	nilüfer	20	17	17
poça	0	0	0	poğaça	0	0	0
karsör	0	0	0	karoser	0	0	0
radyosyon	0	0	0	radyasyon	3	3	5
halisünasyon	0	0	0	halüsinasyon	0	0	0
ilizyon	0	0	0	illüzyon	0	0	0
istambul	0	0	0	istanbul	1796	938	1136
trabzan	0	0	0	tırabzan	0	0	0
nisbet	0	0	0	nispet	0	0	10
klavuz	0	0	0	kılavuz	1	1	19
olaraktan	0	0	0	olarak	4693	2295	2296
dabruka	0	0	0	darbuka	2	1	2
gaste	0	0	0	gazete	84	50	662
ıstırap	0	0	0	ızdırap	1	1	1
tribuşon	0	0	0	tirbuşon	0	0	0
ıstırar	0	0	0	ıztırar	0	0	0
ultrasyon	0	0	0	ultrason	0	0	2
kavaltı	0	0	0	kahvaltı	27	19	38
muacir	0	0	0	muhacir	1	1	1
telafuz	0	0	0	telaffuz	4	4	5
komünükasyon	0	0	0	komünikasyon	0	0	0
beyenmek	0	0	0	beğenmek	0	0	0
mazohist	0	0	0	mazoşist	0	0	0
okşizen	0	0	0	oksijen	19	10	18
panaroma	0	0	0	panorama	3	2	3
çekinser	0	0	0	çekimser	3	1	1
labaratuar	0	0	0	laboratuvar	16	12	30
laylon	0	0	0	naylon	10	8	11
revanş	0	0	0	rövanş	33	21	29
payton	0	0	0	fayton	4	1	2
müsayit	0	0	0	müsait	25	16	17
aliminyum	0	0	0	alüminyum	3	3	4
mahsuz	0	0	0	mahsus	8	6	7
viyolo	0	0	0	viyola	0	0	0
vürüs	0	0	0	virüs	27	14	21
aporlor	0	0	0	hoparlör	1	1	10
statyum	0	0	0	stadyum	3	3	19
yannış	0	0	0	yanlış	238	184	242
muaffak	0	0	0	muvaffak	0	0	0
parlementer	0	0	0	parlamenter	12	11	17
nacizane	0	0	0	naçizane	1	1	1
karemel	0	0	0	karamel	0	0	0
manüpülasyon	0	0	0	manipülasyon	3	2	2
fesetmek	0	0	0	feshetmek	0	0	0
kilot	0	0	0	külot	0	0	0
herkeş	0	0	0	herkes	282	217	440
pisküüt	0	0	0	bisküvi	12	9	11
dekaratör	0	0	0	dekoratör	0	0	0
proğram	0	0	0	program	91	62	349
alobora	0	0	0	alabora	5	4	4
fermar	0	0	0	fermuar	0	0	0
kapşon	0	0	0	kapüşon	0	0	1
pantalon	0	0	0	pantolon	5	5	14
muşanba	0	0	0	muşamba	0	0	0
süpriz	0	0	0	sürpriz	81	59	71
seramoni	0	0	0	seremoni	0	0	1
evye	0	0	0	eviye	0	0	0
şohben	0	0	0	şofben	17	8	13
aşentiyon	0	0	0	eşantiyon	0	0	0
artiz	0	0	0	artist	1	1	4
kordale	0	0	0	kurdele	3	3	8
dispirator	0	0	0	distribütör	0	0	0
aferim	0	0	0	aferin	1	1	1
mokasen	0	0	0	makosen	0	0	0
deyer	0	0	0	değer	77	64	838
pisiklet	0	0	0	bisiklet	21	10	13
provakatör	0	0	0	provokatör	1	1	4
dökümanter	0	0	0	dokümanter	0	0	0
yımırta	0	0	0	yumurta	41	20	31
aldırmamazlık	0	0	0	aldırmazlık	0	0	0
anotomi	0	0	0	anatomi	0	0	1
oğostos	0	0	0	ağustos	154	113	121
assubay	0	0	0	astsubay	108	53	62
meraba	0	0	0	merhaba	8	8	9
prolüfütür	0	0	0	profiterol	0	0	1
ayrıyeten	0	0	0	ayrıca	518	427	438
mazurat	0	0	0	maruzat	0	0	0
sandüviç	0	0	0	sandviç	1	1	1
akrapol	0	0	0	akropol	0	0	0
oparasyon	0	0	0	operasyon	463	262	480
gömetri	0	0	0	geometri	0	0	1
müraccat	0	0	0	müracaat	46	37	54
mazohizm	0	0	0	mazoşizm	0	0	0
melemen	0	0	0	menemen	8	6	8
aşantiyon	0	0	0	eşantiyon	0	0	0
naturel	0	0	0	natürel	1	1	1
mütahit	0	0	0	müteahhit	15	11	15
ahlağın	0	0	0	ahlakın	0	0	2
evsane	0	0	0	efsane	13	9	22
mürivet	0	0	0	mürüvvet	1	1	2
ahçı	0	0	0	aşçı	7	7	9
parende	0	0	0	perende	0	0	0
sudyen	0	0	0	sütyen	0	0	0
ıskonto	0	0	0	iskonto	0	0	0
amarika	0	0	0	amerika	74	56	181
gangren	0	0	0	kangren	0	0	1
dekarasyon	0	0	0	dekorasyon	1	1	2
boğça	0	0	0	poğaça	0	0	0
layik	0	0	0	laik	17	11	23
eylenmek	0	0	0	eğlenmek	1	1	1
fortmanto	0	0	0	portmanto	0	0	0
sarmısak	0	0	0	sarımsak	2	2	5
küvöz	0	0	0	kuvöz	0	0	2
bilader	0	0	0	birader	0	0	0
egzantrik	0	0	0	eksantrik	0	0	0
pardesü	0	0	0	pardösü	0	0	0
