typo	tf	df	sdf	correct	tf	df	sdf
onla	0	0	13	onunla	3	3	3
leyen	23	8	8	leğen	8	1	1
öğe	2	2	8	öge	5	4	12
yunanlı	1	1	7	yunan	52	11	13
mönü	16	6	7	menü	707	9	11
itibariyle	21	6	6	itibarıyla	13	2	2
eşyalar	7	2	5	eşya	7	5	7
vejeteryan	12	4	5	vejetaryen	25	4	4
makina	0	0	4	makine	4	3	6
fasülye	4	4	4	fasulye	171	11	12
tekrardan	6	4	4	tekrar	99	12	12
usül	2	1	4	usul	13	7	13
sarmısak	4	4	4	sarımsak	180	12	12
maydonoz	5	3	3	maydanoz	82	7	8
aperatif	45	2	2	aperitif	2	2	2
istakoz	2	2	2	ıstakoz	25	4	4
meyva	2	1	2	meyve	664	13	13
karnıbahar	1	1	1	karnabahar	46	7	7
labaratuvar	1	1	1	laboratuvar	5	3	5
görseller	0	0	1	görüntüler	5	2	3
logar	0	0	1	rögar	0	0	0
tiyo	1	1	1	tüyo	0	0	1
ünvan	1	1	1	unvan	1	1	4
laboratuar	1	1	1	laboratuvar	5	3	5
ıstanbul	1	1	1	istanbul	412	13	13
hintli	1	1	1	hint	28	5	6
çoşku	0	0	1	coşku	0	0	3
tükrük	0	0	1	tükürük	2	1	1
mevlüt	1	1	1	mevlut	0	0	0
testesteron	1	1	1	testosteron	1	1	1
hıristiyan	8	1	1	hristiyan	2	1	3
zerafet	1	1	1	zarafet	0	0	2
kaysı	1	1	1	kayısı	103	10	11
tadilatlar	1	1	1	tadilat	1	1	1
klavuz	0	0	1	kılavuz	3	3	5
karemel	0	0	1	karamel	19	5	5
personeller	0	0	1	personel	76	7	9
artis	0	0	1	artist	0	0	0
evye	0	0	1	eviye	6	1	1
artiz	0	0	1	artist	0	0	0
naturel	1	1	1	natürel	5	1	1
egsoz	0	0	0	egzoz	0	0	0
herıld	0	0	0	herhalde	0	0	0
heycan	0	0	0	heyecan	2	1	2
şarz	0	0	0	şarj	0	0	0
ultümaton	0	0	0	ültimatom	0	0	0
oporlor	0	0	0	hoparlör	1	1	1
ceton	0	0	0	jeton	0	0	0
gökan	0	0	0	gökhan	2	2	2
