typo	tf	df	sdf	correct	tf	df	sdf
onla	0	0	144	onunla	21	21	21
hıristiyan	23	15	22	hristiyan	15	14	16
eşyalar	3	3	14	eşya	2	2	20
itibariyle	15	14	14	itibarıyla	10	9	9
hintli	11	10	11	hint	12	8	19
yunanlı	8	7	9	yunan	130	50	75
dakka	5	4	6	dakika	58	43	69
ünvan	0	0	6	unvan	2	2	12
mustarip	5	5	5	muzdarip	1	1	1
makina	2	2	4	makine	1	1	15
adele	3	3	3	adale	0	0	59
hemşeri	0	0	3	hemşehri	0	0	3
diyaloga	3	3	3	diyaloğa	7	7	7
sezeryan	2	2	2	sezaryen	3	3	5
mönü	0	0	2	menü	3	3	6
benle	2	2	2	benimle	6	6	7
kurdela	0	0	2	kurdele	0	0	2
azarbaycan	1	1	1	azerbaycan	51	22	24
görseller	1	1	1	görüntüler	44	34	82
fantazi	1	1	1	fantezi	2	1	1
leyen	1	1	1	leğen	8	8	8
laboratuar	0	0	1	laboratuvar	4	4	15
siluet	0	0	1	silüet	0	0	1
muhattap	0	0	1	muhatap	10	9	11
mevlüt	2	1	1	mevlut	0	0	0
usül	0	0	1	usul	0	0	8
motorsiklet	1	1	1	motosiklet	3	2	8
meyva	1	1	1	meyve	3	3	8
azerbeycan	1	1	1	azerbaycan	51	22	24
mentalite	0	0	1	mantalite	0	0	0
öğe	0	0	1	öge	0	0	1
yayınlamak	0	0	1	yayımlamak	0	0	0
panaroma	1	1	1	panorama	1	1	1
orjinal	0	0	1	orijinal	4	2	2
istihbaratlar	1	1	1	istihbarat	126	68	79
kilot	0	0	1	külot	0	0	0
artis	0	0	1	artist	1	1	1
psikiyatrist	0	0	1	psikiyatr	0	0	6
arefe	0	0	1	arife	0	0	1
restorant	0	0	1	restoran	11	6	20
egsoz	0	0	0	egzoz	0	0	0
herıld	0	0	0	herhalde	10	9	9
heycan	0	0	0	heyecan	11	10	19
şarz	0	0	0	şarj	4	4	6
ultümaton	0	0	0	ültimatom	3	2	3
oporlor	0	0	0	hoparlör	0	0	1
ceton	0	0	0	jeton	0	0	0
gökan	0	0	0	gökhan	0	0	0
teferuat	0	0	0	teferruat	0	0	0
herkez	0	0	0	herkes	57	43	119
aptes	0	0	0	abdest	0	0	0
teşfik	0	0	0	teşvik	20	19	20
çünki	0	0	0	çünkü	168	126	126
steteskop	0	0	0	stetoskop	0	0	0
alimünyum	0	0	0	alüminyum	2	2	2
tahtarevalli	0	0	0	tahterevalli	0	0	0
sueter	0	0	0	süveter	0	0	0
mozayik	0	0	0	mozaik	0	0	1
karnıbahar	0	0	0	karnabahar	0	0	0
rezarvasyon	0	0	0	rezervasyon	1	1	1
rakkam	0	0	0	rakam	12	11	30
traş	0	0	0	tıraş	1	1	2
südyen	0	0	0	sütyen	0	0	0
canbaz	0	0	0	cambaz	1	1	1
lakayt	0	0	0	lakayıt	0	0	0
bilimum	0	0	0	bilumum	0	0	0
pattes	0	0	0	patates	3	3	3
ataç	0	0	0	ataş	0	0	5
aparatif	0	0	0	aperitif	0	0	0
afganlı	0	0	0	afgan	38	14	59
ekistra	0	0	0	ekstra	0	0	0
labaratuvar	0	0	0	laboratuvar	4	4	15
taşaron	0	0	0	taşeron	0	0	2
florasan	0	0	0	floresan	0	0	0
menecer	0	0	0	menajer	0	0	2
poaça	0	0	0	poğaça	0	0	0
distribitör	0	0	0	distribütör	0	0	0
logar	0	0	0	rögar	0	0	0
senle	0	0	0	seninle	1	1	1
parağraf	0	0	0	paragraf	0	0	0
alarım	0	0	0	alarm	16	14	31
eşşek	0	0	0	eşek	2	2	3
celatin	0	0	0	jelatin	0	0	0
supab	0	0	0	supap	0	0	0
azemi	0	0	0	azami	1	1	1
mahçup	0	0	0	mahcup	1	1	1
şifai	0	0	0	şifahi	0	0	0
tenbih	0	0	0	tembih	0	0	0
arabeks	0	0	0	arabesk	1	1	1
tanpon	0	0	0	tampon	3	3	4
aperatif	0	0	0	aperitif	0	0	0
tiyo	0	0	0	tüyo	0	0	0
atmasyon	0	0	0	uydurma	4	4	8
ultimatom	0	0	0	ültimatom	3	2	3
hoporlör	0	0	0	hoparlör	0	0	1
uydurmasyon	0	0	0	uydurma	4	4	8
gazte	0	0	0	gazete	64	36	388
proleterya	0	0	0	proletarya	0	0	0
santranç	0	0	0	satranç	2	2	2
vehamet	0	0	0	vahamet	0	0	0
şemşiye	0	0	0	şemsiye	0	0	4
gravat	0	0	0	kravat	1	1	1
kurdale	0	0	0	kurdele	0	0	2
kollektif	0	0	0	kolektif	0	0	0
halisinasyon	0	0	0	halüsinasyon	1	1	1
asvalt	0	0	0	asfalt	0	0	0
meslekdaş	0	0	0	meslektaş	0	0	13
süprüz	0	0	0	sürpriz	29	25	31
kolanya	0	0	0	kolonya	0	0	1
dinazor	0	0	0	dinozor	0	0	0
ansımak	0	0	0	anımsamak	0	0	0
atelye	0	0	0	atölye	1	1	1
ekzantrik	0	0	0	eksantrik	0	0	0
yakinimdir	0	0	0	yakınımdır	0	0	0
eşgal	0	0	0	eşkal	0	0	1
kokreç	0	0	0	kokoreç	0	0	0
döndermek	0	0	0	döndürmek	3	2	2
egsantrik	0	0	0	eksantrik	0	0	0
acenta	0	0	0	acente	0	0	0
afaroz	0	0	0	aforoz	5	4	4
şarter	0	0	0	şalter	0	0	0
afilli	0	0	0	afili	0	0	0
promasyon	0	0	0	promosyon	0	0	0
cenderme	0	0	0	jandarma	5	3	4
duymamazlık	0	0	0	duymazlık	0	0	0
harfiyat	0	0	0	hafriyat	0	0	0
subap	0	0	0	supap	0	0	0
ukela	0	0	0	ukala	0	0	0
düyüm	0	0	0	düğüm	0	0	0
satlık	0	0	0	satılık	0	0	0
ukele	0	0	0	ukala	0	0	0
hakkaten	0	0	0	hakikaten	0	0	0
püsküvüt	0	0	0	bisküvi	9	3	6
prooram	0	0	0	program	21	17	132
opsayd	0	0	0	ofsayt	0	0	0
miğde	0	0	0	mide	4	4	8
müracat	0	0	0	müracaat	2	2	3
tenbel	0	0	0	tembel	0	0	3
karisör	0	0	0	karoser	0	0	0
çinakop	0	0	0	çinekop	0	0	0
sağnak	0	0	0	sağanak	3	2	2
almamazlık	0	0	0	almazlık	0	0	0
fullemek	0	0	0	doldurmak	1	1	1
bilmemezlik	0	0	0	bilmezlik	0	0	0
kakafoni	0	0	0	kakofoni	0	0	0
mürettebatlar	0	0	0	mürettebat	1	1	4
aşşağı	0	0	0	aşağı	28	22	36
mürüvet	0	0	0	mürüvvet	0	0	0
gometri	0	0	0	geometri	0	0	0
valeybol	0	0	0	voleybol	0	0	0
aşırmasyon	0	0	0	aşırma	0	0	0
fasülye	0	0	0	fasulye	0	0	0
arozöz	0	0	0	arazöz	0	0	0
konsansüs	0	0	0	konsensüs	1	1	2
sibop	0	0	0	supap	0	0	0
kirbit	0	0	0	kibrit	0	0	0
askari	0	0	0	asgari	3	2	2
ıstanbul	0	0	0	istanbul	145	73	82
şevkat	0	0	0	şefkat	1	1	3
amartisör	0	0	0	amortisör	0	0	0
kitlemek	0	0	0	kilitlemek	0	0	0
