typo	tf	df	sdf	correct	tf	df	sdf
onla	2	2	1535	onunla	395	322	324
mönü	1510	794	1267	menü	15	15	27
hemşeri	1	1	274	hemşehri	2	2	33
sandöviç	194	141	239	sandviç	91	73	134
sarmısak	114	94	170	sarımsak	67	64	112
eşyalar	51	49	154	eşya	58	56	218
meyva	107	89	132	meyve	370	292	429
meslekdaş	9	9	123	meslektaş	0	0	307
yunanlı	104	78	102	yunan	323	218	388
artis	0	0	76	artist	40	35	76
makina	24	17	75	makine	28	28	83
salomanje	61	47	48	salamanje	0	0	0
fantazi	38	32	36	fantezi	34	25	28
hintli	26	23	29	hint	138	87	104
aperatif	23	23	28	aperitif	1	1	7
ünvan	7	7	28	unvan	3	2	64
taxi	5	5	28	taksi	105	96	599
traş	17	13	25	tıraş	6	6	10
motorsiklet	15	11	25	motosiklet	42	21	37
maydonoz	24	24	24	maydanoz	66	66	76
antreman	25	15	22	antrenman	11	9	18
hıristiyan	17	14	19	hristiyan	7	7	8
ataç	17	17	17	ataş	9	8	47
acenta	2	2	17	acente	0	0	9
itibariyle	17	16	16	itibarıyla	4	4	4
öğe	2	2	16	öge	0	0	52
mahçup	15	15	15	mahcup	23	22	22
nisbet	3	3	15	nispet	153	87	150
restorant	0	0	15	restoran	1445	867	1418
psikiyatrist	9	9	14	psikiyatr	6	6	29
mevlüt	22	12	13	mevlut	0	0	0
tekrardan	13	13	13	tekrar	484	423	510
rezarvasyon	8	8	12	rezervasyon	756	525	618
anfi	0	0	12	amfi	9	9	20
viyolo	0	0	12	viyola	4	2	2
herıld	18	11	11	herhalde	318	287	287
ahçı	2	2	11	aşçı	206	184	615
cimnastik	6	6	11	jimnastik	24	24	26
çoşku	0	0	10	coşku	12	12	275
silahşör	0	0	10	silahşor	0	0	0
naturel	10	10	10	natürel	14	14	14
benle	8	8	9	benimle	349	306	307
sağnak	7	7	8	sağanak	17	12	15
tesbih	5	5	8	tespih	14	14	16
süpriz	3	3	8	sürpriz	802	585	856
eşşek	6	6	7	eşek	26	24	27
menejer	1	1	7	menajer	106	93	688
ıstırap	7	7	7	ızdırap	0	0	0
ıstanbul	3	3	6	istanbul	3368	2019	2865
entellektüel	6	6	6	entelektüel	56	30	37
arefe	6	6	6	arife	29	18	31
inkilap	0	0	5	inkılap	4	4	5
megoloman	0	0	5	megaloman	5	5	33
tesbit	4	4	5	tespit	77	75	80
yalnış	5	5	5	yanlış	409	314	394
azerbeycan	0	0	5	azerbaycan	8	8	18
yanlız	4	4	5	yalnız	734	561	812
mundar	5	5	5	murdar	0	0	0
mustarip	4	4	4	muzdarip	4	4	4
atelye	3	3	4	atölye	19	15	81
üzre	3	3	4	üzere	1460	1074	1087
bilimum	3	3	3	bilumum	26	26	26
logar	3	3	3	rögar	0	0	0
dakka	3	3	3	dakika	449	352	557
menüsküs	6	3	3	menisküs	7	5	6
kareografi	0	0	3	koreografi	28	26	105
usül	0	0	3	usul	9	7	551
zerafet	0	0	3	zarafet	10	5	23
netekim	3	3	3	nitekim	180	173	173
personeller	3	3	3	personel	294	264	477
artiz	2	2	3	artist	40	35	76
kurdela	2	2	3	kurdele	13	7	17
adele	1	1	2	adale	0	0	58
şevkat	1	1	2	şefkat	9	8	24
tirbüşon	2	2	2	tirbuşon	0	0	0
penbe	4	2	2	pembe	180	141	153
siluet	0	0	2	silüet	0	0	3
akapunktur	2	2	2	akupunktur	7	4	7
vejeteryan	2	2	2	vejetaryen	65	62	123
kaparo	2	1	2	kapora	0	0	0
orjinal	2	2	2	orijinal	93	85	110
muaffak	2	2	2	muvaffak	0	0	0
nacizane	2	2	2	naçizane	13	13	13
istihbaratlar	2	2	2	istihbarat	11	11	18
pantalon	0	0	2	pantolon	120	102	184
peştemal	2	2	2	peştamal	2	2	2
mürivet	2	2	2	mürüvvet	0	0	1
aptes	1	1	1	abdest	5	5	9
canbaz	0	0	1	cambaz	34	12	29
afganlı	1	1	1	afgan	16	12	20
senle	1	1	1	seninle	74	66	66
proleterya	0	0	1	proletarya	0	0	0
vehamet	0	0	1	vahamet	0	0	0
dinazor	0	0	1	dinozor	2	2	6
ekzantrik	1	1	1	eksantrik	0	0	0
almamazlık	1	1	1	almazlık	0	0	0
kakafoni	0	0	1	kakofoni	0	0	0
fasülye	1	1	1	fasulye	235	200	209
espiri	0	0	1	espri	164	132	443
kolleksiyon	0	0	1	koleksiyon	33	31	273
müdahele	0	0	1	müdahale	66	58	81
küpür	0	0	1	kupür	0	0	2
kopye	0	0	1	kopya	40	28	80
sıvas	0	0	1	sivas	7	7	28
sezeryan	0	0	1	sezaryen	2	1	8
muhattap	1	1	1	muhatap	19	18	18
kozmatik	1	1	1	kozmetik	48	43	46
testesteron	1	1	1	testosteron	0	0	0
kontür	0	0	1	kontör	2	1	3
megolaman	0	0	1	megaloman	5	5	33
ötenazi	1	1	1	ötanazi	1	1	1
mentalite	1	1	1	mantalite	0	0	1
kontur	0	0	1	kontör	2	1	3
gaste	0	0	1	gazete	157	135	1572
panaroma	1	1	1	panorama	19	13	16
filim	1	1	1	film	2588	1248	2345
alobora	1	1	1	alabora	98	63	69
egsoz	0	0	0	egzoz	6	6	6
heycan	0	0	0	heyecan	124	118	571
şarz	0	0	0	şarj	0	0	1
ultümaton	0	0	0	ültimatom	0	0	1
oporlor	0	0	0	hoparlör	0	0	3
ceton	0	0	0	jeton	2	2	2
gökan	0	0	0	gökhan	882	537	544
teferuat	0	0	0	teferruat	0	0	2
herkez	0	0	0	herkes	1489	1077	1816
teşfik	0	0	0	teşvik	31	21	136
çünki	0	0	0	çünkü	3208	1839	1839
steteskop	0	0	0	stetoskop	0	0	0
alimünyum	0	0	0	alüminyum	2	2	3
tahtarevalli	0	0	0	tahterevalli	0	0	0
sueter	0	0	0	süveter	0	0	0
mozayik	0	0	0	mozaik	50	38	48
karnıbahar	0	0	0	karnabahar	35	35	35
rakkam	0	0	0	rakam	87	84	266
südyen	0	0	0	sütyen	2	2	6
lakayt	0	0	0	lakayıt	0	0	0
azarbaycan	0	0	0	azerbaycan	8	8	18
pattes	0	0	0	patates	494	433	496
aparatif	0	0	0	aperitif	1	1	7
