typo	tf	df	sdf	correct	tf	df	sdf
onla	11	7	24	onunla	24	12	12
ünvan	9	4	11	unvan	93	13	19
itibariyle	20	8	8	itibarıyla	11	3	3
eşyalar	5	2	6	eşya	7	3	6
hintli	3	2	6	hint	83	10	13
leyen	8	5	5	leğen	0	0	1
yunanlı	10	4	5	yunan	368	18	18
üzre	63	4	4	üzere	906	24	24
hıristiyan	24	2	4	hristiyan	80	11	12
tesbit	7	4	4	tespit	102	15	15
logar	0	0	3	rögar	0	0	0
laboratuar	0	0	3	laboratuvar	5	2	2
öğe	6	2	3	öge	12	4	14
nisbet	1	1	3	nispet	0	0	11
peştemal	1	1	3	peştamal	0	0	0
makina	4	2	2	makine	25	6	9
dinazor	0	0	2	dinozor	0	0	2
penbe	2	2	2	pembe	0	0	0
entellektüel	4	2	2	entelektüel	42	9	9
kontur	0	0	2	kontör	0	0	0
techizat	0	0	2	teçhizat	1	1	2
artis	1	1	2	artist	0	0	1
traş	1	1	1	tıraş	0	0	0
tiyo	0	0	1	tüyo	0	0	1
meslekdaş	0	0	1	meslektaş	0	0	1
eşgal	2	1	1	eşkal	1	1	1
tenbel	1	1	1	tembel	0	0	5
bilmemezlik	2	1	1	bilmezlik	0	0	0
ıstanbul	1	1	1	istanbul	615	13	13
siluet	4	1	1	silüet	0	0	0
bugünki	1	1	1	bugünkü	236	23	23
maktül	0	0	1	maktul	2	2	2
azerbeycan	2	1	1	azerbaycan	33	8	10
tadilatlar	0	0	1	tadilat	0	0	1
yayınlamak	1	1	1	yayımlamak	0	0	1
parlemento	1	1	1	parlamento	108	3	7
klavuz	0	0	1	kılavuz	2	1	4
gaste	0	0	1	gazete	67	10	10
ıstırap	0	0	1	ızdırap	0	0	0
parlementer	1	1	1	parlamenter	68	6	6
personeller	1	1	1	personel	8	7	12
insiyatif	0	0	1	inisiyatif	2	1	4
arefe	0	0	1	arife	0	0	3
egsoz	0	0	0	egzoz	0	0	0
herıld	0	0	0	herhalde	6	6	6
heycan	0	0	0	heyecan	5	4	11
şarz	0	0	0	şarj	0	0	0
ultümaton	0	0	0	ültimatom	2	1	1
oporlor	0	0	0	hoparlör	0	0	0
ceton	0	0	0	jeton	0	0	0
gökan	0	0	0	gökhan	3	3	3
teferuat	0	0	0	teferruat	2	2	3
herkez	0	0	0	herkes	62	16	21
aptes	0	0	0	abdest	4	3	3
teşfik	0	0	0	teşvik	53	5	5
çünki	0	0	0	çünkü	247	21	21
steteskop	0	0	0	stetoskop	0	0	0
adele	0	0	0	adale	0	0	21
alimünyum	0	0	0	alüminyum	0	0	0
tahtarevalli	0	0	0	tahterevalli	0	0	0
sueter	0	0	0	süveter	0	0	0
mozayik	0	0	0	mozaik	6	4	4
karnıbahar	0	0	0	karnabahar	0	0	0
rezarvasyon	0	0	0	rezervasyon	0	0	0
rakkam	0	0	0	rakam	10	3	11
südyen	0	0	0	sütyen	0	0	0
canbaz	0	0	0	cambaz	0	0	1
lakayt	0	0	0	lakayıt	0	0	0
azarbaycan	0	0	0	azerbaycan	33	8	10
bilimum	0	0	0	bilumum	1	1	1
pattes	0	0	0	patates	3	2	2
ataç	0	0	0	ataş	0	0	0
aparatif	0	0	0	aperitif	0	0	0
afganlı	0	0	0	afgan	6	4	9
ekistra	0	0	0	ekstra	3	3	3
labaratuvar	0	0	0	laboratuvar	5	2	2
taşaron	0	0	0	taşeron	0	0	0
florasan	0	0	0	floresan	0	0	0
menecer	0	0	0	menajer	0	0	0
poaça	0	0	0	poğaça	0	0	0
mustarip	0	0	0	muzdarip	0	0	0
distribitör	0	0	0	distribütör	0	0	0
görseller	0	0	0	görüntüler	3	1	3
senle	0	0	0	seninle	0	0	0
parağraf	0	0	0	paragraf	0	0	1
alarım	0	0	0	alarm	0	0	0
eşşek	0	0	0	eşek	1	1	1
celatin	0	0	0	jelatin	0	0	0
supab	0	0	0	supap	0	0	0
azemi	0	0	0	azami	5	3	3
mahçup	0	0	0	mahcup	1	1	1
şifai	0	0	0	şifahi	0	0	0
fantazi	0	0	0	fantezi	2	2	2
tenbih	0	0	0	tembih	0	0	1
arabeks	0	0	0	arabesk	0	0	0
tanpon	0	0	0	tampon	15	6	6
aperatif	0	0	0	aperitif	0	0	0
atmasyon	0	0	0	uydurma	3	2	4
ultimatom	0	0	0	ültimatom	2	1	1
hoporlör	0	0	0	hoparlör	0	0	0
uydurmasyon	0	0	0	uydurma	3	2	4
gazte	0	0	0	gazete	67	10	10
proleterya	0	0	0	proletarya	1	1	1
santranç	0	0	0	satranç	0	0	0
vehamet	0	0	0	vahamet	1	1	1
şemşiye	0	0	0	şemsiye	0	0	0
gravat	0	0	0	kravat	0	0	0
kurdale	0	0	0	kurdele	0	0	0
kollektif	0	0	0	kolektif	2	2	2
halisinasyon	0	0	0	halüsinasyon	0	0	0
asvalt	0	0	0	asfalt	0	0	0
süprüz	0	0	0	sürpriz	0	0	0
kolanya	0	0	0	kolonya	0	0	1
ansımak	0	0	0	anımsamak	0	0	1
atelye	0	0	0	atölye	0	0	12
ekzantrik	0	0	0	eksantrik	4	1	1
yakinimdir	0	0	0	yakınımdır	0	0	0
kokreç	0	0	0	kokoreç	0	0	0
dakka	0	0	0	dakika	6	2	7
döndermek	0	0	0	döndürmek	3	3	3
egsantrik	0	0	0	eksantrik	4	1	1
acenta	0	0	0	acente	1	1	1
afaroz	0	0	0	aforoz	4	2	2
şarter	0	0	0	şalter	0	0	0
afilli	0	0	0	afili	0	0	0
promasyon	0	0	0	promosyon	0	0	1
cenderme	0	0	0	jandarma	4	3	3
duymamazlık	0	0	0	duymazlık	0	0	0
harfiyat	0	0	0	hafriyat	0	0	0
subap	0	0	0	supap	0	0	0
ukela	0	0	0	ukala	0	0	0
düyüm	0	0	0	düğüm	3	1	1
satlık	0	0	0	satılık	0	0	0
ukele	0	0	0	ukala	0	0	0
hakkaten	0	0	0	hakikaten	7	4	4
püsküvüt	0	0	0	bisküvi	0	0	1
prooram	0	0	0	program	64	11	13
opsayd	0	0	0	ofsayt	0	0	0
miğde	0	0	0	mide	2	2	3
müracat	0	0	0	müracaat	30	15	15
karisör	0	0	0	karoser	0	0	0
çinakop	0	0	0	çinekop	0	0	0
sağnak	0	0	0	sağanak	0	0	0
almamazlık	0	0	0	almazlık	0	0	0
fullemek	0	0	0	doldurmak	4	3	3
kakafoni	0	0	0	kakofoni	0	0	0
mürettebatlar	0	0	0	mürettebat	1	1	1
aşşağı	0	0	0	aşağı	19	6	9
mürüvet	0	0	0	mürüvvet	2	1	1
gometri	0	0	0	geometri	94	6	6
valeybol	0	0	0	voleybol	0	0	0
aşırmasyon	0	0	0	aşırma	0	0	0
fasülye	0	0	0	fasulye	2	2	2
arozöz	0	0	0	arazöz	0	0	0
konsansüs	0	0	0	konsensüs	0	0	0
sibop	0	0	0	supap	0	0	0
kirbit	0	0	0	kibrit	2	1	1
askari	0	0	0	asgari	6	4	4
şevkat	0	0	0	şefkat	1	1	1
amartisör	0	0	0	amortisör	0	0	0
kitlemek	0	0	0	kilitlemek	0	0	0
tirbüşon	0	0	0	tirbuşon	0	0	0
inkilap	0	0	0	inkılap	6	3	3
tahüt	0	0	0	taahüt	1	1	1
menüsküs	0	0	0	menisküs	0	0	0
çoşku	0	0	0	coşku	0	0	2
silahşör	0	0	0	silahşor	0	0	0
oğustos	0	0	0	ağustos	78	10	10
mütaakip	0	0	0	müteakip	11	4	4
kareografi	0	0	0	koreografi	0	0	0
tafsiye	0	0	0	tavsiye	20	12	14
komidin	0	0	0	komodin	0	0	0
megoloman	0	0	0	megaloman	0	0	0
matamatik	0	0	0	matematik	191	10	10
nötür	0	0	0	nötr	0	0	1
erzağı	0	0	0	erzakı	0	0	0
sütüdyo	0	0	0	stüdyo	0	0	0
ciyer	0	0	0	ciğer	0	0	0
sandöviç	0	0	0	sandviç	0	0	0
kollej	0	0	0	kolej	7	2	6
palyanço	0	0	0	palyaço	0	0	0
amaciyle	0	0	0	amacıyla	90	11	11
birfiil	0	0	0	bilfiil	2	2	2
keşki	0	0	0	keşke	0	0	0
eyitim	0	0	0	eğitim	759	15	15
takikardi	0	0	0	taşikardi	0	0	0
espiri	0	0	0	espri	0	0	1
tamüden	0	0	0	taamüden	0	0	0
tiskinmek	0	0	0	tiksinmek	0	0	0
izalasyon	0	0	0	izolasyon	0	0	0
romörkör	0	0	0	römorkör	0	0	0
kolleksiyon	0	0	0	koleksiyon	0	0	1
şöför	0	0	0	şoför	0	0	0
eşortman	0	0	0	eşofman	0	0	0
müdahele	0	0	0	müdahale	63	17	21
küpür	0	0	0	kupür	0	0	0
pattiz	0	0	0	patates	3	2	2
kopye	0	0	0	kopya	5	4	9
erezyon	0	0	0	erozyon	0	0	0
kiprik	0	0	0	kirpik	0	0	0
akapunktur	0	0	0	akupunktur	0	0	0
kavonoz	0	0	0	kavanoz	0	0	1
ağostos	0	0	0	ağustos	78	10	10
anfi	0	0	0	amfi	0	0	1
tükrük	0	0	0	tükürük	0	0	0
sıvas	0	0	0	sivas	84	13	13
menapoz	0	0	0	menopoz	0	0	0
salomanje	0	0	0	salamanje	0	0	0
kominist	0	0	0	komünist	23	5	5
fites	0	0	0	vites	0	0	0
şayibe	0	0	0	şaibe	0	0	0
nalet	0	0	0	lanet	2	2	4
felan	0	0	0	falan	4	3	3
ziğnet	0	0	0	ziynet	1	1	2
aşofman	0	0	0	eşofman	0	0	0
anartar	0	0	0	anahtar	351	24	24
çukolata	0	0	0	çikolata	1	1	1
sitriptiz	0	0	0	striptiz	0	0	0
anlamamazlık	0	0	0	anlamazlık	0	0	0
veleybol	0	0	0	voleybol	0	0	0
sezeryan	0	0	0	sezaryen	0	0	0
tasviye	0	0	0	tasfiye	14	8	8
ilüzyon	0	0	0	illüzyon	0	0	0
