typo	tf	df	sdf	correct	tf	df	sdf
onla	1	1	327	onunla	44	41	41
itibariyle	139	112	112	itibarıyla	82	51	51
mevlüt	28	24	24	mevlut	1	1	1
ıstanbul	24	17	20	istanbul	1114	579	678
öğe	0	0	20	öge	1	1	5
dokunmatik	30	19	19	dokunmalı	0	0	0
tekrardan	14	14	14	tekrar	287	217	269
artis	0	0	13	artist	11	6	13
eşyalar	2	2	12	eşya	16	11	37
makina	2	2	8	makine	11	10	47
görseller	2	2	6	görüntüler	24	17	48
yunanlı	1	1	6	yunan	18	10	57
ünvan	0	0	5	unvan	2	2	32
barsak	9	5	5	bağırsak	38	23	32
yayınlamak	5	5	5	yayımlamak	0	0	0
viyolo	0	0	5	viyola	3	3	4
hintli	5	4	4	hint	3	2	6
benle	0	0	4	benimle	10	9	9
ataç	0	0	3	ataş	1	1	19
anfi	1	1	3	amfi	6	4	10
allerji	8	1	3	alerji	5	3	15
telafuz	3	3	3	telaffuz	5	4	9
filim	2	1	3	film	542	144	226
psikiyatrist	3	3	3	psikiyatr	0	0	16
naturel	3	3	3	natürel	0	0	1
mahçup	2	2	2	mahcup	8	5	5
tiyo	0	0	2	tüyo	0	0	1
acenta	0	0	2	acente	4	2	3
kakafoni	2	2	2	kakofoni	0	0	0
laboratuar	1	1	2	laboratuvar	20	20	38
çoşku	1	1	2	coşku	9	7	41
kolleksiyon	0	0	2	koleksiyon	23	10	53
müdahele	1	1	2	müdahale	103	63	101
menapoz	1	1	2	menopoz	10	5	10
sezeryan	2	2	2	sezaryen	6	5	6
mönü	0	0	2	menü	8	6	17
zerafet	1	1	2	zarafet	0	0	3
menejer	1	1	2	menajer	8	8	45
diyaloga	2	2	2	diyaloğa	3	3	3
personeller	0	0	2	personel	20	18	57
süpriz	2	2	2	sürpriz	50	40	69
antreman	1	1	2	antrenman	40	21	24
cimnastik	3	2	2	jimnastik	3	2	2
döküman	1	1	2	doküman	1	1	10
şarz	1	1	1	şarj	58	23	26
teşfik	1	1	1	teşvik	66	52	64
traş	1	1	1	tıraş	1	1	2
florasan	0	0	1	floresan	0	0	0
mustarip	1	1	1	muzdarip	4	3	3
senle	1	1	1	seninle	3	3	3
müracat	1	1	1	müracaat	14	10	15
şevkat	3	1	1	şefkat	5	5	15
kareografi	0	0	1	koreografi	4	4	11
sütüdyo	0	0	1	stüdyo	13	12	34
siluet	0	0	1	silüet	0	0	0
espiri	0	0	1	espri	5	5	21
şöför	0	0	1	şoför	3	3	15
küpür	0	0	1	kupür	0	0	0
vejeteryan	1	1	1	vejetaryen	0	0	1
testesteron	1	1	1	testosteron	15	6	6
hıristiyan	1	1	1	hristiyan	2	2	3
tesbih	1	1	1	tespih	1	1	1
hemşeri	1	1	1	hemşehri	0	0	4
maydonoz	1	1	1	maydanoz	5	3	3
