typo	tf	df	sdf	correct	tf	df	sdf
onla	0	0	20	onunla	9	8	8
laboratuar	111	11	13	laboratuvar	425	14	17
leyen	36	10	10	leğen	3	2	2
barsak	35	5	9	bağırsak	108	5	7
itibariyle	71	9	9	itibarıyla	4	3	3
logar	0	0	7	rögar	0	0	0
tiyo	0	0	7	tüyo	0	0	0
makina	2	1	6	makine	27	5	11
yunanlı	4	3	4	yunan	18	9	15
tesbih	7	4	4	tespih	2	2	2
tetanoz	13	4	4	tetanos	0	0	2
öğe	0	0	4	öge	1	1	2
gangren	4	2	4	kangren	0	0	0
karekter	4	2	4	karakter	101	5	19
eşyalar	3	1	3	eşya	8	5	6
tesbit	1	1	3	tespit	251	18	18
allerji	1	1	3	alerji	16	4	7
ötenazi	5	3	3	ötanazi	3	3	3
klavuz	0	0	3	kılavuz	1	1	5
döküman	0	0	3	doküman	2	1	2
fasülye	0	0	2	fasulye	3	3	7
askari	0	0	2	asgari	17	5	5
nötür	3	2	2	nötr	26	10	16
müdahele	1	1	2	müdahale	61	16	17
tükrük	4	1	2	tükürük	43	9	10
sezeryan	1	1	2	sezaryen	1	1	2
müsbet	2	2	2	müspet	1	1	1
testesteron	2	2	2	testosteron	46	5	5
usül	7	2	2	usul	54	7	11
şarz	1	1	1	şarj	0	0	0
steteskop	2	1	1	stetoskop	2	1	1
labaratuvar	22	1	1	laboratuvar	425	14	17
florasan	8	1	1	floresan	20	4	6
görseller	1	1	1	görüntüler	4	3	7
tenbih	0	0	1	tembih	0	0	0
ıstanbul	1	1	1	istanbul	67	8	8
hintli	1	1	1	hint	5	2	5
kollej	0	0	1	kolej	0	0	0
anfi	0	0	1	amfi	0	0	5
menapoz	2	1	1	menopoz	1	1	1
riks	0	0	1	risk	116	16	19
vejeteryan	1	1	1	vejetaryen	0	0	0
hıristiyan	0	0	1	hristiyan	0	0	2
egzos	1	1	1	egzoz	1	1	1
meyva	3	1	1	meyve	34	10	11
maydonoz	1	1	1	maydanoz	0	0	1
ceryan	0	0	1	cereyan	4	3	4
nisbet	0	0	1	nispet	0	0	8
gaste	0	0	1	gazete	65	8	10
orjinal	1	1	1	orijinal	16	8	8
artis	0	0	1	artist	1	1	1
antreman	1	1	1	antrenman	0	0	0
insiyatif	0	0	1	inisiyatif	0	0	2
anotomi	0	0	1	anatomi	11	3	14
melemen	0	0	1	menemen	0	0	0
çiflik	0	0	1	çiftlik	328	13	13
egsoz	0	0	0	egzoz	1	1	1
herıld	0	0	0	herhalde	0	0	0
heycan	0	0	0	heyecan	12	5	7
ultümaton	0	0	0	ültimatom	0	0	0
oporlor	0	0	0	hoparlör	0	0	0
ceton	0	0	0	jeton	0	0	0
gökan	0	0	0	gökhan	2	2	2
teferuat	0	0	0	teferruat	0	0	0
herkez	0	0	0	herkes	20	8	14
aptes	0	0	0	abdest	1	1	1
teşfik	0	0	0	teşvik	34	5	5
çünki	0	0	0	çünkü	204	20	20
adele	0	0	0	adale	2	2	4
alimünyum	0	0	0	alüminyum	7	4	4
tahtarevalli	0	0	0	tahterevalli	0	0	0
sueter	0	0	0	süveter	0	0	0
mozayik	0	0	0	mozaik	9	6	6
karnıbahar	0	0	0	karnabahar	3	2	2
rezarvasyon	0	0	0	rezervasyon	0	0	0
rakkam	0	0	0	rakam	20	9	13
traş	0	0	0	tıraş	4	3	3
südyen	0	0	0	sütyen	0	0	0
canbaz	0	0	0	cambaz	0	0	0
lakayt	0	0	0	lakayıt	0	0	0
azarbaycan	0	0	0	azerbaycan	1	1	1
bilimum	0	0	0	bilumum	0	0	0
pattes	0	0	0	patates	43	7	7
ataç	0	0	0	ataş	0	0	0
aparatif	0	0	0	aperitif	0	0	0
afganlı	0	0	0	afgan	1	1	1
ekistra	0	0	0	ekstra	9	6	12
taşaron	0	0	0	taşeron	0	0	0
menecer	0	0	0	menajer	0	0	0
poaça	0	0	0	poğaça	0	0	0
mustarip	0	0	0	muzdarip	0	0	0
distribitör	0	0	0	distribütör	0	0	0
senle	0	0	0	seninle	0	0	0
parağraf	0	0	0	paragraf	0	0	0
alarım	0	0	0	alarm	11	5	5
eşşek	0	0	0	eşek	10	4	4
celatin	0	0	0	jelatin	14	6	8
supab	0	0	0	supap	0	0	0
azemi	0	0	0	azami	13	4	4
mahçup	0	0	0	mahcup	0	0	0
şifai	0	0	0	şifahi	0	0	0
fantazi	0	0	0	fantezi	0	0	0
arabeks	0	0	0	arabesk	0	0	0
tanpon	0	0	0	tampon	166	7	11
aperatif	0	0	0	aperitif	0	0	0
atmasyon	0	0	0	uydurma	0	0	1
ultimatom	0	0	0	ültimatom	0	0	0
hoporlör	0	0	0	hoparlör	0	0	0
uydurmasyon	0	0	0	uydurma	0	0	1
gazte	0	0	0	gazete	65	8	10
proleterya	0	0	0	proletarya	0	0	0
santranç	0	0	0	satranç	0	0	0
vehamet	0	0	0	vahamet	0	0	0
